tau_Male	tau_Female	tau_Male_threshold	tau_Female_threshold
FBgn0000473	0.841895845523698	0.80864603250478	low	high
FBgn0000477	0.985015749939423	0.975158620360653	high	high
FBgn0000479	0.715957903780069	0.734151090342679	low	low
FBgn0000482	0.652273411623005	0.321916195856874	low	low
FBgn0000489	0.795551848762858	0.85574038122132	low	high
FBgn0000490	0.902656123276561	0.84123206401766	high	high
FBgn0000492	0.7914486279515	0.793556201550388	low	low
FBgn0000497	0.772611464968153	0.70125	low	low
FBgn0000499	0.79069432440219	0.481613611416026	low	low
FBgn0000500	0.892836624369501	0.947919633194737	high	high
FBgn0000504	0.569545745361484	0.740731180777173	low	low
FBgn0000520	0.50373760488177	0.499869519832985	low	low
FBgn0000524	0.552173913043478	0.759714512291832	low	low
FBgn0000527	0.935966402416006	0.933111653999276	high	high
FBgn0000529	0.906821106821107	0.900462962962963	high	high
FBgn0000533	0.861224489795918	0.792294346648612	high	low
FBgn0000535	0.844395924308588	0.828977272727273	low	high
FBgn0000536	0.566871387283237	0.631490893689115	low	low
FBgn0000541	0.48618925831202	0.656046263791374	low	low
FBgn0000542	0.738722093918399	0.823747443762781	low	high
FBgn0000543	0.289988623435722	0.277141003460208	low	low
FBgn0000546	0.60990990990991	0.47461642599278	low	low
FBgn0000547	0.692767570720327	0.602544694348328	low	low
FBgn0000551	0.783647798742138	0.869140625	low	high
FBgn0000552	0.835555555555555	0.9453125	low	high
FBgn0000556	0.657498123185103	0.450198976096982	low	low
FBgn0000557	0.888582542155335	0.869335378747046	high	high
FBgn0000559	0.511774668323517	0.455216902489854	low	low
FBgn0000560	0.960470085470085	0.713662790697674	high	low
FBgn0000562	0.586617647058823	0.416219119226638	low	low
FBgn0000564	0.95026455026455	0.978822314049587	high	high
FBgn0000565	0.874970742883516	0.831775447922819	high	high
FBgn0000566	0.726532808663774	0.647163985047944	low	low
FBgn0000567	0.38862828713575	0.439623142250531	low	low
